Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,
23-Dec-19, LAL (24-6), DEN (21-8), HOU (21-9), LAC (22-10), DAL (19-10), UTA (18-12), OKC (15-14), POR (14-17), SAS (12-17), SAC (12-18), PHO (11-19), MEM (11-20), MIN (10-19), NOP (8-23), GSW (7-24),
24-Dec-19, LAL (24-6), DEN (21-8), HOU (21-9), LAC (22-10), DAL (19-10), UTA (18-12), OKC (15-14), POR (14-17), SAS (12-17), SAC (12-18), PHO (11-19), MEM (11-20), MIN (10-19), NOP (8-23), GSW (7-24),
25-Dec-19, LAL (24-7), DEN (21-9), LAC (23-10), HOU (21-10), DAL (19-10), UTA (18-12), OKC (15-14), POR (14-17), SAS (12-17), SAC (12-18), PHO (11-19), MEM (11-20), MIN (10-19), NOP (9-23), GSW (8-24),
26-Dec-19, LAL (24-7), DEN (21-9), LAC (23-10), HOU (21-10), DAL (20-10), UTA (19-12), OKC (15-15), POR (14-18), SAS (12-18), SAC (12-19), MEM (12-20), MIN (11-19) T12, PHO (11-19) T12, NOP (9-23), GSW (8-24),
27-Dec-19, LAL (24-7), DEN (21-9), LAC (23-10), HOU (21-10), DAL (20-10), UTA (19-12), OKC (16-15), POR (14-18), SAS (12-18), SAC (12-19), MEM (12-20), MIN (11-19), PHO (11-20), NOP (9-23), GSW (9-24),
28-Dec-19, LAL (25-7), DEN (22-9), HOU (22-10), DAL (21-10), LAC (23-11), UTA (20-12), OKC (16-15), POR (14-19), SAS (13-18), PHO (12-20) T10, SAC (12-20) T10, MEM (12-21), MIN (11-20), NOP (10-23), GSW (9-25),
29-Dec-19, LAL (26-7), DEN (23-9), LAC (23-11), HOU (22-11), DAL (21-11), UTA (20-12), OKC (17-15), POR (14-19), SAS (13-18), MEM (13-21), PHO (12-20), SAC (12-21), MIN (11-20), NOP (11-23), GSW (9-25),
30-Dec-19, LAL (26-7), DEN (23-9), LAC (23-11), HOU (22-11), DAL (21-11), UTA (21-12), OKC (17-15), SAS (13-18), POR (14-20), PHO (13-20), MEM (13-21), MIN (12-20), SAC (12-21), NOP (11-23), GSW (9-25),
31-Dec-19, LAL (26-7), DEN (23-10), LAC (24-11), HOU (23-11), DAL (21-12) T5, UTA (21-12) T5, OKC (18-15), SAS (14-18), POR (14-20), PHO (13-20), MEM (13-21), MIN (12-20), SAC (12-22), NOP (11-23), GSW (9-26),
1-Jan-20, LAL (27-7), DEN (23-10), LAC (24-11), HOU (23-11), DAL (21-12) T5, UTA (21-12) T5, OKC (18-15), SAS (14-18), POR (14-21), MEM (13-21) T10, PHO (13-21) T10, MIN (12-21), SAC (12-22), NOP (11-23), GSW (9-26),
2-Jan-20, LAL (27-7), DEN (24-10), LAC (25-11), HOU (23-11), DAL (22-12) T5, UTA (22-12) T5, OKC (19-15), SAS (14-19), POR (14-21), MIN (13-21) T10, PHO (13-21) T10, MEM (13-22) T12, SAC (13-22) T12, NOP (11-23), GSW (9-27),
3-Jan-20, LAL (28-7), DEN (24-10), LAC (25-11), HOU (24-11), DAL (22-12) T5, UTA (22-12) T5, OKC (19-15), SAS (14-19), POR (15-21), PHO (14-21), MIN (13-21), MEM (13-22) T12, SAC (13-22) T12, NOP (11-24), GSW (9-27),
4-Jan-20, LAL (28-7), DEN (24-11) T2, HOU (24-11) T2, LAC (25-12), UTA (23-12), DAL (22-13), OKC (20-15), POR (15-21), SAS (14-20), PHO (14-21), MEM (14-22), MIN (13-21), SAC (13-23), NOP (12-24), GSW (9-28),
5-Jan-20, LAL (29-7), DEN (24-11) T2, HOU (24-11) T2, LAC (26-12), UTA (23-12), DAL (22-13), OKC (20-15), SAS (14-20), MEM (15-22) T9, POR (15-22) T9, MIN (14-21), PHO (14-22), SAC (13-23), NOP (12-24), GSW (9-28),
6-Jan-20, LAL (29-7), DEN (25-11), HOU (24-11), LAC (26-12), UTA (24-12), DAL (23-13), OKC (20-16), SAS (15-20), MEM (15-22) T9, POR (15-22) T9, MIN (14-21), PHO (14-22), SAC (14-23), NOP (12-25), GSW (9-29),
7-Jan-20, LAL (30-7), DEN (25-11), HOU (24-11), LAC (26-12), UTA (24-12), DAL (23-13), OKC (21-16), SAS (15-20), MEM (16-22) T9, POR (16-22) T9, SAC (15-23), MIN (14-22), PHO (14-23), NOP (12-25), GSW (9-29),
8-Jan-20, LAL (30-7), DEN (26-11), HOU (25-11), LAC (26-12), UTA (25-12), DAL (23-14), OKC (21-16), SAS (16-20), MEM (16-22) T9, POR (16-22) T9, SAC (15-23), MIN (14-22), PHO (14-23), NOP (13-25), GSW (9-30),
9-Jan-20, LAL (30-7), DEN (26-11), LAC (26-12), HOU (25-12) T4, UTA (25-12) T4, DAL (23-14), OKC (22-16), SAS (16-20), MEM (16-22), POR (16-23), MIN (15-22), SAC (15-23), PHO (14-23), NOP (13-25), GSW (9-30),
